GEOID	NAME	UATYPE	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                      
08623	Blythe, CA--AZ Urban Cluster	C	16019516	3436	       6.185	       0.001	 33.611802	-114.586127                                                                                                     
08650	Blytheville, AR Urban Cluster	C	23618828	74152	       9.119	       0.029	 35.930795	 -89.924251                                                                                                   
08677	Boardman, OR Urban Cluster	C	7455024	0	       2.878	       0.000	 45.835559	-119.696376                                                                                                           
08704	Boerne, TX Urban Cluster	C	17875573	0	       6.902	       0.000	 29.781909	 -98.726897                                                                                                            
08731	Bogalusa, LA Urban Cluster	C	21462666	77121	       8.287	       0.030	 30.780619	 -89.864760                                                                                                      
08749	Boiling Spring Lakes, NC Urban Cluster	C	9035560	1414539	       3.489	       0.546	 34.041667	 -78.044880                                                                                         
08758	Boiling Springs, NC Urban Cluster	C	9505845	0	       3.670	       0.000	 35.256034	 -81.657863                                                                                                    
08785	Boise City, ID Urbanized Area	U	346550686	4164610	     133.804	       1.608	 43.617778	-116.292083                                                                                                
08812	Bolivar, MO Urban Cluster	C	13897844	21796	       5.366	       0.008	 37.606697	 -93.416709                                                                                                       
08839	Bolivar, OH Urban Cluster	C	9363644	36192	       3.615	       0.014	 40.639605	 -81.432248                                                                                                        
08866	Bolivar, TN Urban Cluster	C	12920118	0	       4.988	       0.000	 35.259898	 -88.995196                                                                                                           
08893	Bonadelle Ranchos-Madera Ranchos, CA Urban Cluster	C	23023955	0	       8.890	       0.000	 36.986902	-119.873482                                                                                  
08920	Bonham, TX Urban Cluster	C	13489805	0	       5.208	       0.000	 33.587997	 -96.184040                                                                                                            
08947	Bonifay, FL Urban Cluster	C	9228887	27637	       3.563	       0.011	 30.778853	 -85.682400                                                                                                        
08974	Bonita Springs, FL Urbanized Area	U	484472815	36822909	     187.056	      14.217	 26.210693	 -81.744767                                                                                           
08992	Bonneauville, PA Urban Cluster	C	8233493	585980	       3.179	       0.226	 39.811300	 -77.173901                                                                                                  
09001	Bonners Ferry, ID Urban Cluster	C	5303490	64130	       2.048	       0.025	 48.690567	-116.320015                                                                                                  
09028	Boone, IA Urban Cluster	C	24017604	0	       9.273	       0.000	 42.056693	 -93.880639                                                                                                             
09055	Boone, NC Urban Cluster	C	34878364	107710	      13.467	       0.042	 36.212553	 -81.651366                                                                                                        
09082	Booneville, AR Urban Cluster	C	4983040	0	       1.924	       0.000	 35.138439	 -93.920088                                                                                                         
09109	Booneville, MS Urban Cluster	C	14569476	23134	       5.625	       0.009	 34.658157	 -88.554430                                                                                                    
09163	Boonville, IN Urban Cluster	C	6688113	34048	       2.582	       0.013	 38.046357	 -87.272626                                                                                                      
09190	Boonville, MO Urban Cluster	C	14780815	227870	       5.707	       0.088	 38.971691	 -92.746730                                                                                                    
09217	Borger, TX Urban Cluster	C	32546361	10993	      12.566	       0.004	 35.666797	-101.399608                                                                                                        
09244	Boscobel, WI Urban Cluster	C	4009378	0	       1.548	       0.000	 43.136654	 -90.699763                                                                                                           
09271	Boston, MA--NH--RI Urbanized Area	U	4852285339	202265876	    1873.478	      78.095	 42.373132	 -71.140708                                                                                         
09298	Boulder, CO Urbanized Area	U	84022230	697715	      32.441	       0.269	 40.027135	-105.239050                                                                                                     
09325	Boulder City, NV Urban Cluster	C	15747630	0	       6.080	       0.000	 35.971068	-114.842418                                                                                                      
09352	Bowie, TX Urban Cluster	C	10479755	46255	       4.046	       0.018	 33.558499	 -97.843269                                                                                                         
