"MarketID","StationID","UniqueIdentifier","CallSign","StationName","Location","GMTOffset","Website","PrimaryLanguage","TimeZoneIdentifier","MediaStationID","AllowMediaDownload","IsUnicode","DateAdded","MarketName","Country","Active","Latitude","Longitude"
"1","13525","MLB","
      ","MLB Network","Seacaucus, NJ","-5","
      ","en-us","Eastern Standard Time","13525","1","0","10/5/2016 10:58:36 AM","U.S. Cable","US","True","32.669521","-117.09543"
"1","15955","MSG","MSG","MSG","New York, NY","-5","
      ","en-us","Eastern Standard Time","15955","1","0","9/12/2017 1:16:07 PM","U.S. Cable","US","True","32.669521","-117.09543"
"100","135","RADWINS","WINS","WINS-AM","New York, NY","-5","http://www.1010wins.com","en-us","Eastern Standard Time","135","1","0","10/5/2016 10:58:36 AM","New York, NY","US","True","40.75604","-73.986941"
"100","145","WPIX","WPIX","WPIX-TV (CW)","New York, NY","-5","www.wb11.com","en-us","Eastern Standard Time","145","1","0","10/5/2016 10:58:36 AM","New York, NY","US","True","40.75604","-73.986941"
"100","150","RADWCBS","WCBS ","WCBS-NY (Radio)","New York, NY","-5","www.newsradio88.com","en-us","Eastern Standard Time","150","1","0","10/5/2016 10:58:36 AM","New York, NY","US","True","40.75604","-73.986941"
"100","160","WCBS","WCBS","WCBS-NY (CBS)","New York, NY","-5","www.cbsnewyork.com","en-us","Eastern Standard Time","160","1","0","10/5/2016 10:58:36 AM","New York, NY","US","True","40.75604","-73.986941"
"100","165","WNBC","WNBC","WNBC-NY (NBC)","New York, NY","-5","www.wnbc.com","en-us","Eastern Standard Time","165","1","0","10/5/2016 10:58:36 AM","New York, NY","US","True","40.75604","-73.986941"
"100","170","WABC","WABC","WABC-NY (ABC)","New York, NY","-5","abclocal.go.com","en-us","Eastern Standard Time","170","1","0","10/5/2016 10:58:36 AM","New York, NY","US","True","40.75604","-73.986941"
"100","195","WNYW","WNYW","WNYW-NY (FOX)","New York, NY","-5","
      ","en-us","Eastern Standard Time","195","1","0","10/5/2016 10:58:36 AM","New York, NY","US","True","40.75604","-73.986941"
"100","230","RADWABC","WABC","WABC-AM (ABC)","New York, NY","-5","
      ","en-us","Eastern Standard Time","230","1","0","10/5/2016 10:58:36 AM","New York, NY","US","True","40.75604","-73.986941"
"100","635","WNET","WNET","WNET-TV (PBS)","New York, NY","-5","http://www.thirteen.org","en-us","Eastern Standard Time","635","1","0","10/5/2016 10:58:36 AM","New York, NY","US","True","40.75604","-73.986941"
"100","640","WXTV","WXTV","WXTV-TV (Univision)","Paterson, NJ","-5","
      ","es-la","Eastern Standard Time","640","1","0","10/5/2016 10:58:36 AM","New York, NY","US","True","40.75604","-73.986941"
"100","1250","RADWFAN","WFAN-AM","WFAN-NY (Radio)","New York, NY","-5","
      ","en-us","Eastern Standard Time","1250","1","0","10/5/2016 10:58:36 AM","New York, NY","US","True","40.75604","-73.986941"
"100","1400","NY1","NY1","NY1","New York, NY","-5","
      ","en-us","Eastern Standard Time","1400","1","0","10/5/2016 10:58:36 AM","New York, NY","US","True","40.75604","-73.986941"
"100","1440","WXTVEN","WXTV-EN","Univision (English)","New York, NY","-5","
      ","en-us","Eastern Standard Time","640","1","0","10/5/2016 10:58:36 AM","New York, NY","US","True","40.75604","-73.986941"
"100","6440","RADWNYC","WNYC","WNYC-FM (Radio)","New York, NY","-5","
      ","en-us","Eastern Standard Time","6440","1","0","10/5/2016 10:58:36 AM","New York, NY","US","True","40.75604","-73.986941"
"100","6445","RADWOR","WOR","WOR-AM (Radio)","New York, NY","-5","
      ","en-us","Eastern Standard Time","6445","1","0","10/5/2016 10:58:36 AM","New York, NY","US","True","40.75604","-73.986941"
"100","6750","WLNY","WLNY","WLNY","Riverhead, NY","-5","
      ","en-us","Eastern Standard Time","6750","1","0","10/5/2016 10:58:36 AM","New York, NY","US","True","40.75604","-73.986941"
"100","6755","NEWS12LI","NEWS12LI","News 12 Long Island","Woodbury, NY","-5","
      ","en-us","Eastern Standard Time","6755","1","0","10/5/2016 10:58:36 AM","New York, NY","US","True","40.75604","-73.986941"
"100","7310","WNJU","WNJU","WNJU (Telemundo)","New York, NY","-5","
      ","en-us","Eastern Standard Time","7310","1","0","10/5/2016 10:58:36 AM","New York, NY","US","True","40.75604","-73.986941"
"100","7705","RADWWRL","WWRL-AM","WWRL 1600 (Radio)","New York, NY","-5","
      ","en-us","Eastern Standard Time","7705","1","0","10/5/2016 10:58:36 AM","New York, NY","US","True","40.75604","-73.986941"
"100","8155","COZI","WNBC-DT2","WNBC Cozi TV","New York, NY","-5","
      ","en-us","Eastern Standard Time","8155","1","0","10/5/2016 10:58:36 AM","New York, NY","US","True","40.75604","-73.986941"
"100","8170","RADESPN","ESPN","ESPN Radio","New York, NY","-5","http://espn.go.com/espnradio/play?s=espn","en-us","Eastern Standard Time","8170","1","0","10/5/2016 10:58:36 AM","New York, NY","US","True","40.75604","-73.986941"
"100","12090","WMBC","
      ","WMBC TV 63","New York, NY","-5","
      ","en-us","Eastern Standard Time","12090","1","0","10/5/2016 10:58:36 AM","New York, NY","US","True","40.75604","-73.986941"
"100","12095","NEWS12BX","
      ","News 12 Bronx","New York, NY","-5","
      ","en-us","Eastern Standard Time","12095","1","0","10/5/2016 10:58:36 AM","New York, NY","US","True","40.75604","-73.986941"
"100","16165","YES","YES","YES Network","New York, NY","-5","
      ","en-us","Eastern Standard Time","16165","1","0","9/27/2017 2:07:51 PM","New York, NY","US","True","40.75604","-73.986941"
"1000","4415","WLFI","WLFI","WLFI (CBS)","Lafayette, IN","-5","
      ","en-us","Eastern Standard Time","4415","1","0","10/5/2016 10:58:36 AM","Lafayette, IN","US","True","40.416611","-86.87542"
